"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2025","21,997.00","21,866.25","22,020.85","21,753.10","","0.63%"
"07/18/2025","21,858.85","22,031.25","22,060.30","21,830.35","","-0.67%"
"07/17/2025","22,006.25","22,058.70","22,070.25","21,977.45","","0.05%"
"07/16/2025","21,996.30","22,010.60","22,050.65","21,957.35","","0.10%"
"07/15/2025","21,974.90","21,822.55","21,989.65","21,807.15","","0.92%"
"07/14/2025","21,773.90","21,669.70","21,788.60","21,581.75","","0.64%"
"07/11/2025","21,636.40","21,796.70","21,844.20","21,588.75","","-0.83%"
"07/10/2025","21,818.35","21,908.80","21,924.85","21,751.05","","-0.28%"
"07/09/2025","21,878.65","21,903.30","21,934.15","21,839.65","","-0.03%"
"07/08/2025","21,886.15","21,925.80","21,984.70","21,729.00","","-0.14%"
"07/07/2025","21,916.30","21,980.90","21,997.70","21,880.30","","-0.26%"
"07/04/2025","21,973.15","22,013.65","22,054.80","21,866.55","","-0.02%"
"07/03/2025","21,977.25","21,987.75","22,065.85","21,930.50","","0.17%"
"07/02/2025","21,940.15","21,973.40","21,985.80","21,826.40","","-0.05%"
"07/01/2025","21,951.05","22,038.05","22,048.25","21,859.70","","-0.17%"
"06/30/2025","21,988.65","21,941.95","22,001.40","21,865.60","","0.68%"
"06/27/2025","21,840.20","21,831.65","21,920.50","21,802.85","","0.40%"
"06/26/2025","21,753.15","21,704.30","21,761.65","21,600.80","","0.52%"
"06/25/2025","21,640.65","21,614.30","21,660.65","21,571.20","","0.55%"
"06/24/2025","21,523.05","21,589.85","21,628.50","21,475.95","","0.71%"
"06/23/2025","21,371.30","21,142.00","21,413.75","21,126.45","","0.40%"
"06/20/2025","21,285.45","21,016.50","21,318.90","20,999.35","","1.25%"
"06/19/2025","21,022.95","21,371.65","21,399.75","20,974.30","","-1.57%"
"06/18/2025","21,358.50","21,422.50","21,538.65","21,304.95","","-0.48%"
"06/17/2025","21,460.95","21,628.65","21,675.35","21,433.75","","-0.62%"
"06/16/2025","21,594.45","21,431.10","21,607.25","21,194.90","","0.75%"
"06/13/2025","21,433.05","21,091.05","21,466.75","21,091.05","","-0.36%"
"06/12/2025","21,509.65","21,868.60","21,870.00","21,476.75","","-1.54%"
"06/11/2025","21,846.05","21,968.60","22,004.80","21,748.70","","-0.32%"
"06/10/2025","21,915.90","21,999.50","22,007.20","21,867.40","","0.03%"
"06/09/2025","21,908.35","21,827.80","21,921.55","21,794.10","","1.01%"
"06/06/2025","21,688.60","21,551.10","21,712.90","21,472.25","","0.99%"
"06/05/2025","21,476.45","21,410.85","21,502.30","21,377.85","","0.66%"
"06/04/2025","21,334.60","21,217.90","21,346.45","21,098.10","","0.80%"
"06/03/2025","21,164.75","21,327.70","21,336.50","21,142.95","","-0.36%"
"06/02/2025","21,240.80","21,115.95","21,260.75","21,053.10","","0.55%"
"05/30/2025","21,125.55","21,220.25","21,268.60","21,076.70","","-0.18%"
"05/29/2025","21,163.15","21,145.35","21,187.35","21,040.95","","0.56%"
"05/28/2025","21,044.40","21,074.75","21,154.20","21,022.40","","0.05%"
"05/27/2025","21,034.45","21,020.95","21,062.70","20,917.35","","0.21%"
"05/26/2025","20,991.00","20,952.65","21,053.85","20,946.65","","0.56%"
"05/23/2025","20,874.40","20,797.75","20,901.85","20,705.55","","0.59%"
"05/22/2025","20,752.70","20,792.40","20,827.55","20,632.40","","-0.37%"
"05/21/2025","20,828.75","20,687.10","20,868.20","20,612.85","","0.79%"
"05/20/2025","20,665.25","21,111.15","21,121.15","20,634.75","","-1.56%"
"05/19/2025","20,992.80","21,030.85","21,108.75","20,878.90","","0.16%"
"05/16/2025","20,960.15","20,871.35","20,983.35","20,779.60","","0.86%"
"05/15/2025","20,781.15","20,712.05","20,796.50","20,614.45","","0.69%"
"05/14/2025","20,637.90","20,465.25","20,656.75","20,388.85","","1.27%"
"05/13/2025","20,379.30","20,366.50","20,473.10","20,285.10","","0.24%"
"05/12/2025","20,331.50","20,133.35","20,340.75","20,077.10","","3.75%"
"05/09/2025","19,596.25","19,165.40","19,632.95","19,165.10","","0.02%"
"05/08/2025","19,591.80","20,016.65","20,082.00","19,487.15","","-1.76%"
"05/07/2025","19,943.65","19,407.25","19,959.95","19,404.55","","1.51%"
"05/06/2025","19,646.20","20,093.50","20,132.40","19,614.45","","-2.01%"
"05/05/2025","20,049.15","19,825.80","20,064.00","19,802.10","","1.58%"
"05/02/2025","19,738.10","19,836.95","20,024.65","19,690.10","","-0.68%"
"04/30/2025","19,873.15","20,021.20","20,109.25","19,785.95","","-0.68%"
"04/29/2025","20,009.05","20,032.70","20,163.00","19,962.90","","0.21%"
"04/28/2025","19,966.70","19,661.80","19,978.25","19,660.90","","1.38%"
"04/25/2025","19,694.85","20,232.10","20,266.85","19,532.50","","-2.47%"
"04/24/2025","20,194.40","20,241.80","20,282.00","20,175.55","","-0.17%"
"04/23/2025","20,229.05","20,159.35","20,244.10","19,895.40","","0.98%"
"04/22/2025","20,032.30","19,935.95","20,106.30","19,816.70","","0.85%"
"04/21/2025","19,863.65","19,533.10","19,886.05","19,485.40","","2.21%"
"04/17/2025","19,433.45","19,306.15","19,459.00","19,225.80","","0.58%"
"04/16/2025","19,320.60","19,216.55","19,331.40","19,174.50","","0.74%"
"04/15/2025","19,178.50","18,936.10","19,208.60","18,838.50","","3.03%"
"04/11/2025","18,614.15","18,624.40","18,661.10","18,469.90","","1.87%"
"04/09/2025","18,272.75","18,342.35","18,342.95","18,053.10","","-0.62%"
"04/08/2025","18,387.05","18,386.05","18,502.30","18,149.15","","2.12%"
"04/07/2025","18,005.10","17,269.55","18,099.60","17,269.50","","-3.59%"
"04/04/2025","18,675.30","19,198.15","19,211.75","18,567.10","","-2.93%"
